,0
0,neutral
1,negative
2,negative
3,neutral
4,negative
5,neutral
6,negative
7,neutral
8,negative
9,negative
10,neutral
11,negative
12,negative
13,neutral
14,positive
15,negative
16,neutral
17,negative
18,negative
19,negative
20,negative
21,neutral
22,negative
23,neutral
24,negative
25,negative
26,neutral
27,negative
28,neutral
29,neutral
30,neutral
31,neutral
32,neutral
33,neutral
34,neutral
35,negative
36,negative
37,neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,negative
44,neutral
45,neutral
46,neutral
47,negative
48,positive
49,negative
50,negative
51,negative
52,neutral
53,negative
54,negative
55,negative
56,negative
57,negative
58,negative
59,neutral
60,negative
61,neutral
62,negative
63,negative
64,negative
65,neutral
66,neutral
67,neutral
68,neutral
69,negative
70,negative
71,neutral
72,neutral
73,neutral
74,negative
75,negative
76,neutral
77,neutral
78,negative
79,negative
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,negative
86,negative
87,negative
88,negative
89,neutral
90,negative
91,negative
92,neutral
93,negative
94,negative
95,neutral
96,positive
97,negative
98,neutral
99,negative
100,neutral
101,negative
102,negative
103,negative
104,negative
105,neutral
106,negative
107,negative
108,negative
109,positive
110,neutral
111,neutral
112,neutral
113,negative
114,neutral
115,negative
116,negative
117,negative
118,neutral
119,negative
120,neutral
121,neutral
122,negative
123,negative
124,negative
125,negative
126,negative
127,negative
128,negative
129,negative
130,negative
131,negative
132,negative
133,negative
134,negative
135,negative
136,negative
137,negative
138,negative
139,negative
140,negative
141,negative
142,negative
143,neutral
144,neutral
145,negative
146,negative
147,negative
148,negative
149,negative
150,negative
151,negative
152,negative
153,neutral
154,neutral
155,negative
156,neutral
157,neutral
158,neutral
159,neutral
160,positive
161,positive
162,neutral
163,neutral
164,negative
165,negative
166,negative
167,negative
168,negative
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,neutral
175,negative
176,negative
177,negative
178,neutral
179,negative
180,negative
181,negative
182,negative
183,negative
184,neutral
185,neutral
186,negative
187,neutral
188,neutral
189,neutral
190,negative
191,negative
192,negative
193,negative
194,neutral
195,negative
196,negative
197,negative
198,negative
199,negative
200,negative
201,negative
202,negative
203,negative
204,negative
205,negative
206,negative
207,negative
208,negative
209,negative
210,negative
211,negative
212,neutral
213,negative
214,neutral
215,neutral
216,negative
217,neutral
218,neutral
219,neutral
220,negative
221,negative
222,neutral
223,positive
224,neutral
225,neutral
226,negative
227,negative
228,negative
229,negative
230,negative
231,neutral
232,neutral
233,neutral
234,neutral
235,negative
236,negative
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,negative
243,negative
244,negative
245,negative
246,neutral
247,negative
248,neutral
249,negative
250,negative
251,negative
252,negative
253,neutral
254,neutral
255,negative
256,negative
257,neutral
258,neutral
259,neutral
260,negative
261,negative
262,neutral
263,neutral
264,neutral
265,neutral
266,positive
267,neutral
268,negative
269,neutral
270,negative
271,negative
272,negative
273,negative
274,negative
275,negative
276,negative
277,negative
278,negative
279,negative
280,negative
281,negative
282,negative
283,neutral
284,negative
285,negative
286,negative
287,neutral
288,neutral
289,negative
290,negative
291,neutral
292,neutral
293,negative
294,negative
295,negative
296,negative
297,neutral
298,neutral
299,negative
300,negative
301,neutral
302,negative
303,negative
304,negative
305,negative
306,negative
307,negative
308,negative
309,negative
310,negative
311,negative
312,negative
313,negative
314,negative
315,negative
316,negative
317,negative
318,neutral
319,neutral
320,negative
321,negative
322,negative
323,negative
324,negative
325,negative
326,negative
327,negative
328,negative
329,negative
330,negative
331,neutral
332,positive
333,neutral
334,negative
335,negative
336,negative
337,neutral
338,negative
339,neutral
340,neutral
341,neutral
342,neutral
343,negative
344,negative
345,neutral
346,negative
347,neutral
348,negative
349,negative
350,neutral
351,negative
352,neutral
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,neutral
360,neutral
361,neutral
362,neutral
363,positive
364,negative
365,negative
366,neutral
367,neutral
368,neutral
369,negative
370,negative
371,negative
372,neutral
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,neutral
383,neutral
384,neutral
385,neutral
386,neutral
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,neutral
394,negative
395,negative
396,negative
397,negative
398,negative
399,negative
400,negative
401,negative
402,negative
403,negative
404,negative
405,negative
406,negative
407,negative
408,neutral
409,negative
410,negative
411,negative
412,negative
413,negative
414,negative
415,negative
416,neutral
417,negative
418,neutral
419,neutral
420,neutral
421,negative
422,negative
423,negative
424,negative
425,neutral
426,negative
427,neutral
428,negative
429,negative
430,negative
431,negative
432,negative
433,negative
434,negative
435,negative
436,negative
437,neutral
438,negative
439,negative
440,negative
441,negative
442,negative
443,neutral
444,neutral
445,neutral
446,negative
447,negative
448,negative
449,negative
450,negative
451,negative
452,negative
453,negative
454,neutral
455,negative
456,negative
457,negative
458,negative
459,neutral
460,neutral
461,negative
462,negative
463,negative
464,negative
465,neutral
466,negative
467,negative
468,negative
469,neutral
470,negative
471,negative
472,negative
473,negative
474,neutral
475,neutral
476,negative
477,negative
478,negative
479,neutral
480,neutral
481,neutral
482,neutral
483,negative
484,negative
485,negative
486,negative
487,neutral
488,negative
489,negative
490,positive
491,negative
492,neutral
493,neutral
494,negative
495,negative
496,negative
497,negative
498,negative
499,negative
500,negative
501,negative
502,negative
503,negative
504,neutral
505,negative
506,negative
507,negative
508,neutral
509,neutral
510,neutral
511,negative
512,negative
513,positive
514,neutral
515,negative
516,negative
517,negative
518,negative
519,positive
520,neutral
521,neutral
522,negative
